seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0201,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0202,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0203,A2_e_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0204,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0205,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0206,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0207,A2_e_d.mp3,B2_u_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0208,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0209,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0210,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0211,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0212,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0213,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0214,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0215,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0216,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0217,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0218,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0219,A2_e_d.mp3,B2_o_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0220,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0221,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_o_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0222,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_o_p.mp3
seq_0223,A2_e_d.mp3,B2_u_t.mp3,A3_i_g.mp3,B3_u_k.mp3,A1_i_b.mp3,B1_u_p.mp3
seq_0224,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_o_p.mp3
seq_0225,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_o_k.mp3,A1_e_b.mp3,B1_u_p.mp3
seq_0226,A2_i_d.mp3,B2_o_t.mp3,A3_e_g.mp3,B3_u_k.mp3,A1_e_b.mp3,B1_o_p.mp3
